eventTimestamp,userID,sessionID,platform,userCountry,realCurrencyAmount,realCurrencyAmount,realCurrencyType,,,,,,,,,,,,
2019-11-03,20057,e9633f0a-3d34-43a0-8223-4f87855a9383,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,100628,3723e728-bb47-4251-a414-454c081d13ef,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-03,58820,f749eb64-0780-499e-8793-0814b3bf746f,ANDROID,DE,1599,15.99,EUR,,,,,,,,,,,,
2019-11-03,99712,d1884cbf-6e08-484a-8241-cbfe005ab7c2,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-03,103522,069621a8-67da-44ec-8d92-5e54310152e1,ANDROID,FR,1599,15.99,EUR,,,,,,,,,,,,
2019-11-03,83906,3f35f847-f4c5-4fc5-910e-efe5e410a5c5,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-03,102406,e4ff2c6f-4927-4a0e-b191-18be02e3fdd1,ANDROID,CA,649,6.49,CAD,,,,,,,,,,,,
2019-11-03,101561,33208b71-d0c7-40e3-a892-d5d94f8d5c4d,ANDROID,US,1999,19.99,USD,,,,,,,,,,,,
2019-11-03,83906,3f35f847-f4c5-4fc5-910e-efe5e410a5c5,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-03,101561,33208b71-d0c7-40e3-a892-d5d94f8d5c4d,ANDROID,US,1999,19.99,USD,,,,,,,,,,,,
2019-11-03,101561,33208b71-d0c7-40e3-a892-d5d94f8d5c4d,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-03,103585,f1bd2eaa-12f9-4d29-9344-edd5bc22e447,ANDROID,DE,549,5.49,EUR,,,,,,,,,,,,
2019-11-03,103173,6ff18c6e-c9a4-4f37-abea-cd6424b8b616,ANDROID,US,199,1.99,USD,,,,,,,,,,,,
2019-11-03,20057,7cbc5bc9-5454-4cee-9eff-dfcc08a59fac,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,20057,7cbc5bc9-5454-4cee-9eff-dfcc08a59fac,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,20057,7cbc5bc9-5454-4cee-9eff-dfcc08a59fac,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,20057,7cbc5bc9-5454-4cee-9eff-dfcc08a59fac,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,20057,7cbc5bc9-5454-4cee-9eff-dfcc08a59fac,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,20057,629b23e3-c956-4bdb-9202-76ed38976b54,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,20057,629b23e3-c956-4bdb-9202-76ed38976b54,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,20057,629b23e3-c956-4bdb-9202-76ed38976b54,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,20057,629b23e3-c956-4bdb-9202-76ed38976b54,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,20057,629b23e3-c956-4bdb-9202-76ed38976b54,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,20057,629b23e3-c956-4bdb-9202-76ed38976b54,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,20057,629b23e3-c956-4bdb-9202-76ed38976b54,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,92990,9205a11a-4f5a-4706-906a-2d7e62e2b60c,ANDROID,DE,549,5.49,EUR,,,,,,,,,,,,
2019-11-03,20057,629b23e3-c956-4bdb-9202-76ed38976b54,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,94867,d8e6bca8-e702-4012-9dfd-8993d7c1f714,ANDROID,DE,1599,15.99,EUR,,,,,,,,,,,,
2019-11-03,20057,721238bb-4a75-4746-b3c1-b91318a5009b,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,20057,721238bb-4a75-4746-b3c1-b91318a5009b,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,20057,721238bb-4a75-4746-b3c1-b91318a5009b,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,20057,ae4fb421-777c-4308-9c81-1367a868d8db,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,20057,ae4fb421-777c-4308-9c81-1367a868d8db,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,103711,ecdc069d-f471-40b5-a02d-b4ab16eef5e3,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-03,103711,ecdc069d-f471-40b5-a02d-b4ab16eef5e3,ANDROID,US,1999,19.99,USD,,,,,,,,,,,,
2019-11-03,103168,3a3ae23d-e2c4-4279-9bf0-01a8159156d8,ANDROID,DE,549,5.49,EUR,,,,,,,,,,,,
2019-11-03,94147,5d6e8481-40db-44f4-b5b2-487d0de0e589,ANDROID,FR,1099,10.99,EUR,,,,,,,,,,,,
2019-11-03,103711,ecdc069d-f471-40b5-a02d-b4ab16eef5e3,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-03,58820,095e0ec0-d080-4f19-8625-0d2d74fa44e4,ANDROID,DE,549,5.49,EUR,,,,,,,,,,,,
2019-11-03,94147,5d6e8481-40db-44f4-b5b2-487d0de0e589,ANDROID,FR,549,5.49,EUR,,,,,,,,,,,,
2019-11-03,101708,41d36f52-aa79-4359-a62a-9e2718ee96bb,ANDROID,RU,159000,1590,RUB,,,,,,,,,,,,
2019-11-03,101708,867f094d-ce45-43bf-a012-9b80bca4ae3c,ANDROID,RU,119000,1190,RUB,,,,,,,,,,,,
2019-11-03,103409,3aed2e48-9094-4720-b559-bd9defd9ae7a,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-03,103409,3aed2e48-9094-4720-b559-bd9defd9ae7a,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-03,103728,1bada4e7-7b8d-414b-a00e-f00909b1b005,ANDROID,AT,549,5.49,EUR,,,,,,,,,,,,
2019-11-03,103728,1bada4e7-7b8d-414b-a00e-f00909b1b005,ANDROID,AT,549,5.49,EUR,,,,,,,,,,,,
2019-11-03,103728,1bada4e7-7b8d-414b-a00e-f00909b1b005,ANDROID,AT,549,5.49,EUR,,,,,,,,,,,,
2019-11-03,103409,3aed2e48-9094-4720-b559-bd9defd9ae7a,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-03,102414,2205d1e8-97c2-4cb5-bf3f-36f1211922ba,ANDROID,US,1499,14.99,USD,,,,,,,,,,,,
2019-11-03,103522,d6bf595a-2601-4629-9184-70f1799a3fdd,ANDROID,FR,2199,21.99,EUR,,,,,,,,,,,,
2019-11-03,101786,d6acdfbc-39d0-4fe5-8fcb-71f9516a0563,ANDROID,SE,5900,59,SEK,,,,,,,,,,,,
2019-11-03,102629,52983280-9fcd-4373-b4ec-2518244756d9,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-03,103409,f0e86e0d-0ac8-46ef-8daa-85895f7a5ca5,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-03,101708,5852a1d0-2429-4dee-bf86-03574f732530,ANDROID,RU,38900,389,RUB,,,,,,,,,,,,
2019-11-03,103646,70261362-4448-46a7-bded-46b5215acc06,ANDROID,DE,549,5.49,EUR,,,,,,,,,,,,
2019-11-03,103824,dc701725-6e17-4f85-b926-42528c54c60c,ANDROID,DE,549,5.49,EUR,,,,,,,,,,,,
2019-11-03,103824,dc701725-6e17-4f85-b926-42528c54c60c,ANDROID,DE,549,5.49,EUR,,,,,,,,,,,,
2019-11-03,99127,1ae911ae-fa08-440f-9645-87a7176f6ac3,ANDROID,US,999,9.99,USD,,,,,,,,,,,,
2019-11-03,99127,1ae911ae-fa08-440f-9645-87a7176f6ac3,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-03,40557,08680ade-fe57-4d77-a09d-7dadf0588cbf,IOS,US,499,4.99,USD,,,,,,,,,,,,
2019-11-03,103646,4699e233-15fc-4ae1-b1fb-af3fc2415c64,ANDROID,DE,549,5.49,EUR,,,,,,,,,,,,
